"Carimbo de data/hora","Em qual instituição você está fazendo pós graduação?","Se você estuda na UFPR, em qual setor você está inserido?  ","Qual sua atividade atual na sua universidade (relacionada à presença nesta disciplina)?","Em qual grande área do conhecimento sua pesquisa está inserida hoje?","Em qual ano você concluiu sua graduação?","Em qual instituição você concluiu sua graduação? (Responda com a sigla da instituição)","De quais programas de graduação você participou?","Se você já concluiu o mestrado, qual o ano de início do mestrado?","Qual o ano de conclusão do seu mestrado?","Em qual instituição você fez seu mestrado?","Quantos artigos (com qualis) você já publicou?","Você é bolsista remunerado de algum programa? Qual?","Quantas disciplinas de Estatística você cursou na graduação?","Quantas disciplinas DIFERENTES de Estatística vc cursou na pós-graduação (mestrado + doutorado) no total? ","Já utilizou algum software com funcionalidades estatísticas?","Qual(is) software(s) com funcionalidades estatísticas você usa ou já usou?","Você vai utilizar métodos estatísticos na sua Pós-Graduação/Pesquisa?","Qual a importância que você atribui à Estatística no seu trabalho de Pós-Graduação/Pesquisa? ","Se você está fazendo Pós-Graduação, qual a sua principal expectativa após a conclusão?","Como tomou conhecimento da Disciplina Transversal?","Após se matricular no SIGA, você assistiu alguma aula do ano anterior da Disciplina no YouTube? ","Tem/teve contato ou conhecimento sobre os professores coordenadores da disciplina (Paulo Justiniano e/ou Walmes Zeviani)?","Tem/teve contato ou conhecimento sobre o(s) prof(s). colaboradores da disciplina?","Você cursou o ensino médio em escola pública ou particular?","Você cursou ensino médio tradicional ou profissionalizante?","Qual o seu sexo?","Qual a sua altura?","Qual o seu peso?","Qual a data do seu nascimento?","Qual das seguintes categorias descreve melhor sua situação de emprego?","Com quem você mora?","Quantos irmãos você tem?","Qual a sua origem?","Possui habilitação para dirigir? Qual categoria?","Qual seu meio de transporte predominante que utilizava ou utilizaria para Universidade em atividades presenciais?","Em média, quanto tempo você demorava ou demoraria para chegar a Universidade?","Em média, quantas vezes você usa táxi/aplicativo de transporte durante o mês?","Possui animal de estimação?","Toca algum instrumento musical?","De quais redes sociais você participa?","Você pratica atividade física regularmente?","Quantas vezes por semana você se exercita?","Qual atividade você pratica?","Você teve ao menos um teste positivo para covid-19?","Você conhece alguém que já foi infectado pela covid-19?","Você faz parte do grupo de risco?","Dentre as pessoas que você convive, há ao menos uma pertencente ao grupo de risco?","Você foi vacinado contra a covid-19?","Quais das medidas a seguir você considera eficazes na prevenção à covid-19?","E quais das medidas você efetivamente segue para fins de prevenção?","Como a pandemia afetou sua renda?","Como a pandemia afetou seus estudos?","Como a pandemia afetou seu aprendizado?","Você aprova o formato remoto de ensino?","Você sente mais dificuldades no formato remoto quando comparado ao presencial?","Você acha que a pandemia vai afetar o tempo de conclusão da sua pós graduação?","Quantos anos você acha que a pessoa da foto abaixo tem?","Observe as figuras abaixo. Uma delas se chama ""Bouba"" e a outra ""Kiki"". Quem é quem?",
"11/03/2021 14:19:164","UFPR","SD - Saúde","Doutorado","Ciências Biológicas",1990,"UEPG","Não participei",2002,2004,"UEM",4,"Não",1,12,"Sim","Excel ou similares","Certamente sim",10,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","secretaria do programa de pós-graduação","Não","Não","Não","Totalmente em escola particular","Ensino médio profissionalizante (técnico)","Feminino",160,65,"30/09/1968","Trabalho com carteira assinada/Vínculo Formal","Com o namorado(a)/noivo(a)/cônjuge",2,"Interior do Paraná","B (carro)","Táxi/Aplicativo",25,4,"Não possuo","Não toco nenhum instrumento","Facebook, Instagram, Linkedin","Não",38,"Natação","Não","Não","Não","Não","Não","Distanciamento entre indivíduos (1 metro ou mais)","Distanciamento entre indivíduos (1 metro ou mais)","Não afetou","Não afetou","Afetou moderadamente","Sim","Sim","Sim",55,"A da esquerda se chama Bouba, a da direita se chama Kiki.",40
"11/03/2021 14:19:165","UFPR","ED - Educação","Doutorado","Ciências Humanas",2010,"UEM","Não participei",2015,2017,"UFPR",6,"Não",0,6,"Não","Excel ou similares","Não sei ainda",3,"Aumento salarial e oportunidades mais promissoras.","Site da UFPR ou instituição de origem","Não","Não","Não","Totalmente em escola pública","Ensino médio tradicional","Masculino",205,84,"30/03/1980","Servidor público - professor","Com o namorado(a)/noivo(a)/cônjuge",2,"Interior do Paraná","A e B (moto e carro)","Carro/moto próprio",25,0,"Não possuo","Violão, Teclado, Piano, Flauta","Facebook, Twitter, Instagram, Linkedin","Não",35,"Nenhuma","Não","Não","Não","Não","Não","Distanciamento entre indivíduos (1 metro ou mais)","Distanciamento entre indivíduos (1 metro ou mais)","Extinguiu minha renda","Não afetou","Afetou pouco","Sim","Sim","Sim",48,"A da esquerda se chama Bouba, a da direita se chama Kiki.",50
"11/03/2021 14:19:166","UFPR","ET - Exatas","Mestrado Acadêmico","Ciências Exatas",2006,"UFPR","Não participei",,,,0,"Não",1,0,"Não","Excel ou similares","Não sei ainda",8,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Site da UFPR ou instituição de origem","Não","Não","Não","Totalmente em escola pública","Ensino médio tradicional","Masculino",174,80,"15/12/1978","Trabalho com carteira assinada/Vínculo Formal","Com o namorado(a)/noivo(a)/cônjuge",4,"Região metropolitana","A e B (moto e carro)","Carro/moto próprio",15,2,"Não possuo","Não toco nenhum instrumento","Nenhuma","Não",43,"Vôlei","Sim","Sim","Sim","Sim","Sim","Vacinação","Vacinação","Afetou muito","Não afetou","Afetou moderadamente","Sim","Sim","Sim",54,"A da esquerda se chama Bouba, a da direita se chama Kiki.",43
"11/03/2021 14:19:167","UNIOESTE",,"Mestrado Acadêmico","Ciências Exatas",2017,"UTFPR","Não participei",,,,0,"Não",2,0,"Sim","Excel ou similares","Certamente sim",8,"Conseguir um emprego.","Pelo(a)  orientador(a)","Não","Não","Não","Totalmente em escola particular","Ensino médio tradicional","Feminino",160,64,"19/10/1995","No momento não tenho emprego","Com os pais",2,"Interior do Paraná","B (carro)","Carro/moto próprio",20,1,"Cachorro, Gato","Não toco nenhum instrumento","Instagram, Linkedin","Não",41,"Nenhuma","Não","Não","Não","Não","Não","Isolamento social","Isolamento social","Não afetou","Estudei menos que o normal","Afetou pouco","Não","Sim","Sim",50,"A da esquerda se chama Kiki, a da direita se chama Bouba.",50
"11/03/2021 14:19:168","UFPR","SA - Sociais Aplicadas","Mestrado Acadêmico","Ciências Exatas",2006,"SPEI","Não participei",,,,1,"Não",1,0,"Sim","Excel ou similares","Certamente sim",8,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Site da UFPR ou instituição de origem","Não","Não","Não","Totalmente em escola pública","Ensino médio tradicional","Feminino",165,58,"15/02/1971","Trabalho com carteira assinada/Vínculo Formal","Com o namorado(a)/noivo(a)/cônjuge",5,"Curitiba","B (carro)","Carro/moto próprio",20,4,"Cachorro","Não toco nenhum instrumento","Facebook, Instagram","Não",44,"Basquete","Não","Não","Não","Não","Não","Uso de máscaras, Uso de luvas, Uso de proteção ocular, Uso de álcool em gel, Lavagem frequente das mãos, Distanciamento entre indivíduos (1 metro ou mais), Vacinação, Isolamento social","Uso de máscaras, Uso de luvas, Uso de proteção ocular, Uso de álcool em gel, Lavagem frequente das mãos, Distanciamento entre indivíduos (1 metro ou mais), Vacinação, Isolamento social","Não afetou","Estudei mais que o normal","Afetou muito","Não sei dizer","Não","Não",58,"A da esquerda se chama Bouba, a da direita se chama Kiki.",46
"11/03/2021 14:19:169","UNILA",,"Mestrado Acadêmico","Ciências Exatas",20132003,"UDC/UTFPR","Não participei",,,,1,"Não",2,0,"Sim","Excel ou similares","Certamente sim",10,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Professor orientador da UNILA","Não","Não","Não","Totalmente em escola pública","Ensino médio tradicional","Masculino",178,100,"16/10/1979","Trabalho com carteira assinada/Vínculo Formal","Com o namorado(a)/noivo(a)/cônjuge",3,"Interior do Paraná","B (carro)","Carro/moto próprio",15,0,"Não possuo","Outro","Facebook, Twitter, Instagram, Linkedin","Não",43,"Nenhuma","Não","Não","Não","Não","Não","Uso de máscaras","Uso de máscaras","Afetou muito","Não afetou","Afetou muito","Sim","Sim","Sim",55,"A da esquerda se chama Bouba, a da direita se chama Kiki.",54
"11/03/2021 14:19:170","UFPR","AC - Artes, Comunicação e Design","Doutorado","Ciências Humanas",1999,"UTP","Não participei",2006,2008,"UFPR",1,"Não",1,12,"Sim","Excel ou similares","Certamente sim",10,"Aumento salarial e oportunidades mais promissoras.","Site da UFPR ou instituição de origem","Não","Não","Não","Totalmente em escola particular","Ensino médio profissionalizante (técnico)","Masculino",171,97,"01/02/1977","Trabalho com carteira assinada/Vínculo Formal","Com o namorado(a)/noivo(a)/cônjuge",2,"Curitiba","A e B (moto e carro)","Carro/moto próprio",35,2,"Cachorro","Não toco nenhum instrumento","Facebook, Twitter, Instagram, Linkedin","Não",44,"Vôlei","Não","Não","Não","Não","Não","Uso de luvas","Uso de luvas","Afetou moderadamente","Estudei mais que o normal","Afetou moderadamente","Não sei dizer","Não","Não",57,"A da esquerda se chama Bouba, a da direita se chama Kiki.",50
"11/03/2021 14:19:171","UFPR","BL - Ciências Biológiccas","Mestrado Acadêmico","Ciências Biológicas",2018,"UNIFIL","Não participei",,2021,,0,"CAPES",1,1,"Sim","Excel ou similares","Certamente sim",8,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Site da UFPR ou instituição de origem","Não","Não","Não","Totalmente em escola particular","Ensino médio tradicional","Masculino",191,92,"20/12/1993","Bolsista em tempo integral","Pensão, quarto alugado ou algo similar",2,"Outro Estado","B (carro)","A pé",15,5,"Cachorro","Não toco nenhum instrumento","Facebook, Instagram","Não",45,"Basquete","Não","Não","Não","Não","Não","Uso de máscaras","Uso de máscaras","Não afetou","Não afetou","Afetou moderadamente","Sim","Não sei dizer","Não sei dizer",51,"A da esquerda se chama Kiki, a da direita se chama Bouba.",45
"11/03/2021 14:19:172","UFPR","AG - Agrárias","Mestrado Acadêmico","Ciências Biológicas",2004,"UNIOESTE","Não participei",,,,0,"Não",1,12,"Sim","Excel ou similares","Certamente sim",10,"Aumento salarial e oportunidades mais promissoras.","Site da UFPR ou instituição de origem","Não","Não","Não","Parte em escola pública, parte em particular","Ensino médio tradicional","Feminino",164,53,"28/07/1981","Trabalho por contrato","Com outros familiares",2,"Interior do Paraná","B (carro)","Carro/moto próprio",90,0,"Cachorro","Não toco nenhum instrumento","Facebook, Twitter, Instagram, Linkedin","Não",49,"Caminhada, Basquete","Não","Não","Não","Não","Não","Distanciamento entre indivíduos (1 metro ou mais)","Distanciamento entre indivíduos (1 metro ou mais)","Não afetou","Estudei menos que o normal","Afetou muito","Não","Sim","Sim",40,"A da esquerda se chama Kiki, a da direita se chama Bouba.",68
"11/03/2021 14:19:173","UNIOESTE",,"Mestrado Acadêmico","Ciências Humanas",2014,"Unioeste","Não participei",,,,0,"Não",1,2,"Sim","Excel ou similares","Não sei ainda",7,"Aumento salarial e oportunidades mais promissoras.","Pelo(a)  orientador(a)","Não","Não","Não","Totalmente em escola pública","Ensino médio tradicional","Feminino",170,67,"28/12/1993","Trabalho com carteira assinada/Vínculo Formal","Com o namorado(a)/noivo(a)/cônjuge",2,"Interior do Paraná","A e B (moto e carro)","Carro/moto próprio",50,0,"Cachorro, Pássaro","Violão","Facebook, Instagram","Não",54,"Nenhuma","Não","Não","Não","Não","Não","Distanciamento entre indivíduos (1 metro ou mais)","Distanciamento entre indivíduos (1 metro ou mais)","Não afetou","Não afetou","Afetou moderadamente","Sim","Não sei dizer","Não sei dizer",55,"A da esquerda se chama Kiki, a da direita se chama Bouba.",50
"11/03/2021 14:19:174","UFPR","SD - Saúde","Mestrado Acadêmico","Ciências Humanas",2013,"UNIVALI","Não participei",,,,1,"Não",0,8,"Sim","Excel ou similares","Certamente sim",10,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Site da UFPR ou instituição de origem","Não","Não","Não","Totalmente em escola pública","Ensino médio tradicional","Feminino",170,66,"30/11/1989","Trabalho com carteira assinada/Vínculo Formal","Com o namorado(a)/noivo(a)/cônjuge",4,"Outro Estado","A e B (moto e carro)","Serviço fretado de van/ônibus",240,0,"Cachorro","Não toco nenhum instrumento","Facebook, Instagram, Linkedin","Não",55,"Nenhuma","Não","Não","Não","Não","Não","Uso de luvas","Uso de luvas","Não afetou","Não afetou","Afetou muito","Sim","Sim","Sim",42,"A da esquerda se chama Bouba, a da direita se chama Kiki.",45
"11/03/2021 14:19:175","UFPR","SA - Sociais Aplicadas","Mestrado Acadêmico","Ciências Humanas",2015,"UNIVERSIDADE POSITIVO - UP","Não participei",,,,0,"Não",2,2,"Sim","Excel ou similares","Não sei ainda",9,"Aumento salarial e oportunidades mais promissoras.","Site da UFPR ou instituição de origem","Não","Não","Não","Totalmente em escola pública","Ensino médio profissionalizante (técnico)","Masculino",174,98,"27/03/1992","Trabalho com carteira assinada/Vínculo Formal","Com o namorado(a)/noivo(a)/cônjuge",2,"Curitiba","Não","Carro/moto próprio",15,5,"Gato","Não toco nenhum instrumento","Nenhuma","Não",62,"Musculação","Não","Não","Não","Não","Não","Distanciamento entre indivíduos (1 metro ou mais)","Distanciamento entre indivíduos (1 metro ou mais)","Afetou moderadamente","Não afetou","Afetou pouco","Sim","Sim","Sim",42,"A da esquerda se chama Bouba, a da direita se chama Kiki.",50
"11/03/2021 14:19:176","IFPR",,"Mestrado Acadêmico","Ciências Humanas",2010,"UFPR","Não participei",,,,0,"Não",1,3,"Sim","Excel ou similares","Certamente sim",8,"Aumento salarial e oportunidades mais promissoras.","Pelo(a)  orientador(a)","Sim","Não","Sim","Totalmente em escola particular","Ensino médio tradicional","Feminino",170,73,"17/11/1988","Trabalho com carteira assinada/Vínculo Formal","Com o namorado(a)/noivo(a)/cônjuge",1,"Região metropolitana","A e B (moto e carro)","Carro/moto próprio",70,0,"Peixe","Não toco nenhum instrumento","Facebook, Twitter, Instagram","Sim",55,"Natação","Não","Não","Não","Não","Não","Tratamento precoce (de qualquer espécie)","Tratamento precoce (de qualquer espécie)","Extinguiu minha renda","Estudei menos que o normal","Afetou muito","Não","Sim","Sim",42,"A da esquerda se chama Kiki, a da direita se chama Bouba.",55
"11/03/2021 14:19:177","Não sou aluno de pós graduação",,"Mestrado Acadêmico","Ciências Exatas",2016,"UNILA","Não participei",,,,0,"Não",1,0,"Sim","Excel ou similares","Certamente sim",8,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Pelo(a)  orientador(a)","Não","Não","Não","Parte em escola pública, parte em particular","Ensino médio profissionalizante (técnico)","Masculino",170,70,"28/05/1966","Aposentado","Com o namorado(a)/noivo(a)/cônjuge",4,"Curitiba","Superior à B","Carro/moto próprio",20,0,"Não possuo","Não toco nenhum instrumento","Facebook","Não",61,"Vôlei","Não","Não","Não","Não","Não","Uso de máscaras, Uso de luvas, Uso de proteção ocular, Uso de álcool em gel, Lavagem frequente das mãos, Distanciamento entre indivíduos (1 metro ou mais), Vacinação, Isolamento social","Uso de máscaras, Uso de luvas, Uso de proteção ocular, Uso de álcool em gel, Lavagem frequente das mãos, Distanciamento entre indivíduos (1 metro ou mais), Vacinação, Isolamento social","Não afetou","Não afetou","Afetou moderadamente","Sim","Não sei dizer","Não sei dizer",45,"A da esquerda se chama Kiki, a da direita se chama Bouba.",50
"11/03/2021 14:19:178","UEPG",,"Mestrado Acadêmico","Ciências Biológicas",2017,"UVM (Chile)","Não participei",,2021,"UEPG",0,"CAPES",2,0,"Sim","Excel ou similares","Certamente sim",10,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","UEPG","Não","Não","Não","Parte em escola pública, parte em particular","Ensino médio tradicional","Masculino",179,78,"22/02/1991","Bolsista em tempo integral","Sozinho",1,"Outro País","Não","Bicicleta",5,5,"Não possuo","Não toco nenhum instrumento","Facebook, Instagram","Não",59,"Nenhuma","Não","Não","Não","Não","Não","Uso de máscaras","Uso de máscaras","Afetou pouco","Não afetou","Afetou pouco","Sim","Sim","Sim",58,"A da esquerda se chama Bouba, a da direita se chama Kiki.",55
"11/03/2021 14:19:179","UFPR","SP - Palotina","Mestrado Acadêmico","Ciências Exatas",2015,"ULBRA","Não participei",2018,2020,"Universidade Potiguar",0,"Não",1,1,"Sim","Excel ou similares","Certamente sim",8,"Aumento salarial e oportunidades mais promissoras.","Por colegas","Não","Não","Não","Totalmente em escola particular","Ensino médio tradicional","Masculino",172,80,"28/07/1988","Trabalho com carteira assinada/Vínculo Formal","Sozinho",1,"Outro Estado","A e B (moto e carro)","Carro/moto próprio",15,5,"Não possuo","Não toco nenhum instrumento","Twitter, Instagram, Linkedin","Não",60,"Basquete","Não","Não","Não","Não","Não","Isolamento social","Isolamento social","Afetou muito","Não afetou","Afetou pouco","Sim","Sim","Sim",52,"A da esquerda se chama Bouba, a da direita se chama Kiki.",48
"11/03/2021 14:19:180","Não sou aluno de pós graduação",,"Mestrado Acadêmico","Ciências Exatas",20032013,"UTFPR/UDC","Não participei",,,,1,"Não",2,0,"Sim","Excel ou similares","Certamente sim",10,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Pelo(a)  orientador(a)","Não","Não","Não","Totalmente em escola pública","Ensino médio tradicional","Masculino",178,100,"16/10/1979","Trabalho com carteira assinada/Vínculo Formal","Com o namorado(a)/noivo(a)/cônjuge",3,"Interior do Paraná","B (carro)","Carro/moto próprio",15,0,"Não possuo","Outro","Facebook, Twitter, Instagram, Linkedin","Não",58,"Nenhuma","Não","Não","Não","Não","Não","Uso de proteção ocular","Uso de proteção ocular","Afetou pouco","Não afetou","Não afetou","Sim","Sim","Sim",55,"A da esquerda se chama Bouba, a da direita se chama Kiki.",57
"11/03/2021 14:19:181","UNILA",,"Doutorado","Ciências Exatas",2008,"UNIAMÉRICA","Não participei",2014,2016,"UNIOESTE",4,"Não",1,10,"Sim","Excel ou similares, Asistat","Certamente sim",10,"Aumento salarial e oportunidades mais promissoras.","Pelo(a)  orientador(a)","Não","Não","Não","Totalmente em escola particular","Ensino médio tradicional","Masculino",165,65,"23/12/1985","Concursado como docente 20 horas município ","Com o namorado(a)/noivo(a)/cônjuge",2,"Interior do Paraná","B (carro)","Carro/moto próprio",30,0,"Cachorro","Não toco nenhum instrumento","Facebook, Google+, Linkedin","Não",46,"Natação","Não","Não","Não","Não","Não","Uso de máscaras","Uso de máscaras","Não afetou","Não afetou","Afetou moderadamente","Sim","Não sei dizer","Não sei dizer",47,"A da esquerda se chama Kiki, a da direita se chama Bouba.",62
"11/03/2021 14:19:182","UFPR","TC - Tecnologia","Mestrado Acadêmico","Ciências Biológicas",2017,"UFCG","Iniciação científica, Monitoria",,,,0,"CAPES",2,3,"Sim","Excel ou similares, Assistat","Certamente sim",9,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Site da UFPR ou instituição de origem","Não","Não","Não","Totalmente em escola pública","Ensino médio tradicional","Masculino",183,105,"06/12/1993","Bolsista em tempo integral","Com amigos",1,"Outro Estado","Não","A pé",30,3,"Não possuo","Não toco nenhum instrumento","Instagram","Não",42,"Nenhuma","Não","Não","Não","Não","Não","Uso de álcool em gel","Uso de álcool em gel","Afetou muito","Estudei mais que o normal","Afetou moderadamente","Não sei dizer","Não","Não",48,"A da esquerda se chama Bouba, a da direita se chama Kiki.",50
"11/03/2021 14:19:183","UNILA",,"Doutorado","Ciências Exatas",2015,"UFSC","Iniciação científica, Monitoria, Empresa Júnior",2016,2018,"UFSC",1,"Não",1,11,"Sim","Excel ou similares, Assistat","Certamente sim",9,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Pelo(a)  orientador(a)","Não","Não","Não","Totalmente em escola particular","Ensino médio tradicional","Feminino",174,59,"01/04/1992","Trabalho ocasional","Com o namorado(a)/noivo(a)/cônjuge",3,"Outro Estado","B (carro)","Carro/moto próprio",20,3,"Não possuo","Não toco nenhum instrumento","Twitter, Instagram, Linkedin","Não",11,"Vôlei","Não","Não","Não","Não","Não","Uso de proteção ocular","Uso de proteção ocular","Extinguiu minha renda","Estudei menos que o normal","Afetou moderadamente","Não","Sim","Sim",45,"A da esquerda se chama Kiki, a da direita se chama Bouba.",55
"11/03/2021 14:19:184","UFPR","AG - Agrárias","Mestrado Acadêmico","Ciências Biológicas",2020,"UEMASUL","Iniciação científica, Projeto de extensão",,,,0,"CAPES",2,3,"Não","Excel ou similares, ASSISTAT","Certamente sim",10,"Conseguir um emprego.","Por colegas","Não","Não","Não","Totalmente em escola pública","Ensino médio profissionalizante (técnico)","Masculino",180,115,"12/07/1997","Bolsista em tempo integral","Com os pais",3,"Outro Estado","A e B (moto e carro)","A pé",25,5,"Gato","Não toco nenhum instrumento","Facebook, Twitter, Instagram, Linkedin, Outras","Não",39,"Corrida","Não","Não","Não","Não","Não","Tratamento precoce (de qualquer espécie)","Tratamento precoce (de qualquer espécie)","Não afetou","Estudei mais que o normal","Afetou muito","Não sei dizer","Não","Não",51,"A da esquerda se chama Bouba, a da direita se chama Kiki.",48
"11/03/2021 14:19:185","UNILA",,"Doutorado","Ciências Exatas",2015,"UFSC","Iniciação científica, Monitoria",2018,,"UFSC",1,"Não",1,11,"Sim","Excel ou similares, ASSITAT","Certamente sim",9,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Pelo(a)  orientador(a)","Não","Não","Não","Totalmente em escola particular","Ensino médio tradicional","Feminino",174,60,"04/01/1992","Trabalho ocasional","Com o namorado(a)/noivo(a)/cônjuge",3,"Outro Estado","B (carro)","Carro/moto próprio",20,2,"Não possuo","Não toco nenhum instrumento","Instagram","Não",24,"Pilates","Não","Não","Não","Não","Não","Uso de luvas","Uso de luvas","Não afetou","Não afetou","Afetou moderadamente","Sim","Sim","Sim",50,"A da esquerda se chama Bouba, a da direita se chama Kiki.",50
"11/03/2021 14:19:186","UFPR","AG - Agrárias","Doutorado","Ciências Biológicas",2017,"UFRN","Iniciação científica, Monitoria, Projeto de extensão",2018,2020,"UFRN",5,"CAPES",1,1,"Sim","Excel ou similares, Bioestat","Certamente sim",10,"Conseguir um emprego.","Site da UFPR ou instituição de origem","Não","Não","Não","Totalmente em escola particular","Ensino médio tradicional","Masculino",180,88,"19/09/1993","Bolsista em tempo integral","Com amigos",1,"Outro Estado","B (carro)","A pé",20,1,"Não possuo","Não toco nenhum instrumento","Facebook, Instagram, Linkedin","Não",45,"Nenhuma","Não","Não","Não","Não","Não","Uso de máscaras","Uso de máscaras","Extinguiu minha renda","Estudei menos que o normal","Afetou pouco","Não","Sim","Sim",52,"A da esquerda se chama Kiki, a da direita se chama Bouba.",45
"11/03/2021 14:19:187","UFPR","SD - Saúde","Mestrado Acadêmico","Ciências Biológicas",2014,"PUCPR","Monitoria",,,,0,"Não",1,5,"Sim","Excel ou similares, BIOSTAT","Certamente sim",10,"Aumento salarial e oportunidades mais promissoras.","Por ex-alunos da Disciplina","Não","Não","Não","Totalmente em escola pública","Ensino médio tradicional","Masculino",176,78,"24/08/1991","Trabalho com carteira assinada/Vínculo Formal","Com o namorado(a)/noivo(a)/cônjuge",1,"Interior do Paraná","A e B (moto e carro)","Carro/moto próprio",50,1,"Não possuo","Teclado, Outro","Facebook, Instagram, Linkedin","Não",56,"Musculação, Vôlei","Não","Não","Não","Não","Não","Uso de máscaras","Uso de máscaras","Extinguiu minha renda","Não afetou","Não afetou","Sim","Não sei dizer","Não sei dizer",44,"A da esquerda se chama Kiki, a da direita se chama Bouba.",45
"11/03/2021 14:19:188","UFPR","SD - Saúde","Doutorado","Ciências Biológicas",1998,"UEPG","Iniciação científica, Monitoria, Projeto de extensão",2003,2006,"UFRGS",1,"Não",1,1,"Sim","Excel ou similares, EPI INFO","Certamente sim",10,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Site da UFPR ou instituição de origem","Não","Não","Não","Totalmente em escola pública","Ensino médio tradicional","Masculino",188,120,"02/10/1973","Trabalho com carteira assinada/Vínculo Formal","Com o namorado(a)/noivo(a)/cônjuge",3,"Interior do Paraná","A e B (moto e carro)","Carro/moto próprio",120,2,"Cachorro, Peixe","Violão, Guitarra","Facebook, Linkedin","Não",7,"Nenhuma","Não","Não","Não","Não","Não","Lavagem frequente das mãos","Lavagem frequente das mãos","Extinguiu minha renda","Estudei menos que o normal","Afetou muito","Não","Sim","Sim",45,"A da esquerda se chama Kiki, a da direita se chama Bouba.",54
"11/03/2021 14:19:189","UFPR","BL - Ciências Biológiccas","Mestrado Acadêmico","Ciências Biológicas",2018,"UFPR","Iniciação científica, Monitoria, Projeto de extensão",,,"UFPR",0,"CAPES",1,0,"Sim","Excel ou similares, GraphPad Prism","Certamente sim",10,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Email institucional da SuCom (Superintendência de Comunicação e Marketing)","Não","Não","Não","Totalmente em escola pública","Ensino médio tradicional","Masculino",176,61,"18/07/1997","Bolsista em tempo integral","Sozinho",1,"Outro Estado","Não","A pé",25,0,"Não possuo","Violão","Twitter","Não",25,"Basquete","Sim","Sim","Sim","Sim","Sim","Uso de álcool em gel","Uso de álcool em gel","Extinguiu minha renda","Não afetou","Afetou muito","Sim","Não sei dizer","Não sei dizer",43,"A da esquerda se chama Kiki, a da direita se chama Bouba.",47
"11/03/2021 14:19:190","UFPR","BL - Ciências Biológiccas","Doutorado","Ciências Biológicas",2012,"UFSC","Iniciação científica, Projeto de extensão",2012,2014,"UFSC",1,"CAPES",1,10,"Sim","Excel ou similares, Graphpad prism","Certamente sim",9,"Aumento salarial e oportunidades mais promissoras.","Site da UFPR ou instituição de origem","Não","Não","Não","Totalmente em escola particular","Ensino médio tradicional","Feminino",152,50,"29/09/1989","Bolsista em tempo integral","Sozinho",1,"Outro Estado","B (carro)","Carona com amigos",25,10,"Não possuo","Não toco nenhum instrumento","Facebook, Instagram, Linkedin","Não",41,"Corrida","Não","Não","Não","Não","Não","Uso de máscaras","Uso de máscaras","Extinguiu minha renda","Não afetou","Afetou moderadamente","Sim","Não sei dizer","Não sei dizer",50,"A da esquerda se chama Kiki, a da direita se chama Bouba.",55
"11/03/2021 14:19:191","UFPR","BL - Ciências Biológiccas","Doutorado","Ciências Biológicas",2017,"UFPA","Iniciação científica",2017,2019,"UFPR",0,"CAPES",1,0,"Sim","Excel ou similares, GraphPad Prism 7","Certamente sim",10,"Conseguir um emprego.","Siga","Não","Não","Não","Totalmente em escola pública","Ensino médio tradicional","Masculino",183,67,"29/12/1995","Bolsista em tempo integral","Com o namorado(a)/noivo(a)/cônjuge",1,"Outro Estado","Não","Transporte público",50,1,"Cachorro","Não toco nenhum instrumento","Facebook, Twitter, Instagram, Linkedin, Outras","Não",32,"Pilates","Não","Não","Não","Não","Não","Vacinação","Vacinação","Extinguiu minha renda","Não afetou","Afetou moderadamente","Sim","Sim","Sim",48,"A da esquerda se chama Bouba, a da direita se chama Kiki.",53
"11/03/2021 14:19:192","UEPG",,"Mestrado Acadêmico","Ciências Biológicas",2019,"UEPG","Iniciação científica, Monitoria",,,,0,"CNPQ",1,0,"Sim","Excel ou similares, GraphPrima","Certamente sim",10,"Aumento salarial e oportunidades mais promissoras.","UEPG","Não","Não","Não","Totalmente em escola pública","Ensino médio tradicional","Feminino",176,85,"28/06/1997","Bolsista em tempo integral","Sozinho",5,"Interior do Paraná","B (carro)","A pé",20,15,"Cachorro","Outro","Facebook, Instagram","Não",22,"Corrida","Não","Não","Não","Não","Não","Uso de máscaras","Uso de máscaras","Não afetou","Não afetou","Afetou moderadamente","Sim","Sim","Sim",40,"A da esquerda se chama Bouba, a da direita se chama Kiki.",47
