"","ln_instituicao","ln_setorAtuacao","lo_ativAtuacao","ln_setorArea","tc_anoFimGrad","ln_localGrad","ln_progGrad","tc_inicMest","tc_fimMest","ln_localMest","td_artigo","ln_bolsaEstudo","td_estatGrad","td_estatPGrad","lo_soft","ln_enumSoft","lo_importancia","td_notaImport","ln_expectAposPG","ln_conhecTransv","lo_videoTransv","ln_turma","lo_contatoProfDisc","lo_contatoProfColabDisc","ln_medio1","ln_medio2","ln_sexo","tc_altura","tc_peso","dataNasc","ln_tipoTrab","ln_compMoradia","td_numIrmao","ln_origem","ln_tipoHab","ln_tipoTransp","tc_tempoPUniv","td_qtddServTransp","ln_pet","ln_instr","ln_rede","tc_idadeProf","ln_kiki","tc_IMC","tc_idade","id_foto"
"127","ufpr","sd - saude","mestrado academico","ciencias biologicas",2018,"ufpr","iniciacao cientifica; monitoria",NA,2022,"outro",0,"nao",1,0,"sim","excel","certamente sim",5,"aumento salarial e oportunidades mais promissoras.","site da ufpr ou instituicao de origem","nao","Presencial","nao","nao","totalmente em escola publica","ensino medio tradicional","Masculino",173,70,1991-09-04,"trabalho com carteira assinada/vinculo formal","com o namorado(a)/noivo(a)/conjuge",2,"curitiba","b (carro)","carro/moto proprio",40,5,"gato","violao; guitarra","Facebook",43,"B se chama Bouba e A se chama Kiki.",23.3886865581877,29,1
"128","ufpr",NA,"doutorado","ciencias biologicas",2001,"outro","monitoria; projeto de extensao",2005,2007,"outro",2,"nao",2,16,"nao","","certamente sim",8,"aumento salarial e oportunidades mais promissoras.","por ex-alunos da disciplina","nao","Remota","nao","nao","totalmente em escola particular","ensino medio tradicional","Masculino",180,80,1978-07-08,"trabalho com carteira assinada/vinculo formal","sozinho",2,"outro estado","b (carro)","taxi/aplicativo",60,8,"nao possuo","violao","Facebook; Twitter; Instagram; Linkedin",55,"A se chama Bouba e B se chama Kiki.",24.6913580246914,42,1
"129","unila",NA,"mestrado academico","ciencias exatas",2016,"outro","projeto de extensao",NA,NA,"outro",0,"outro",1,2,"nao","","nao sei ainda",8,"aumento salarial e oportunidades mais promissoras.","pelo(a)  orientador(a)","nao","Remota","nao","nao","totalmente em escola particular","ensino medio tradicional","Masculino",193,112,1994-08-24,"trabalho ocasional","com o namorado(a)/noivo(a)/conjuge",3,"outro estado","b (carro)","carro/moto proprio",50,0,"cachorro; gato","violao; guitarra; contrabaixo","Facebook; Instagram; Linkedin",40,"B se chama Bouba e A se chama Kiki.",30.0679212864775,26,1
"130","uepg",NA,"doutorado","ciencias biologicas",2014,"ufpr","iniciacao cientifica; pet; monitoria; projeto de extensao",2017,2019,"outro",2,"capes",0,20,"sim","spss","certamente sim",10,"conseguir um emprego.","pelo(a)  orientador(a)","nao","Remota","nao","nao","totalmente em escola publica","ensino medio tradicional","Feminino",172,64,1991-11-16,"bolsista em tempo integral","com os pais",5,"interior","b (carro)","carro/moto proprio",30,0,"cachorro","nao toco nenhum instrumento","Facebook; Instagram",55,"B se chama Bouba e A se chama Kiki.",21.6333153055706,29,1
"131","uepg",NA,"mestrado academico","ciencias biologicas",2016,"outro","iniciacao cientifica; monitoria; projeto de extensao",NA,NA,"outro",0,"nao",1,0,"nao","","certamente sim",10,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","pelo(a)  orientador(a)","nao","Remota","nao","nao","totalmente em escola particular","ensino medio tradicional","Masculino",170,75,1985-06-20,"bolsista em tempo integral","com o namorado(a)/noivo(a)/conjuge",1,"interior","b (carro)","carro/moto proprio",15,2,"nao possuo","contrabaixo","Facebook; Instagram; Linkedin",55,"B se chama Bouba e A se chama Kiki.",25.9515570934256,35,1
"132","ufpr","ac - artes, comunicacao e design","doutorado","ciencias humanas",1999,"outro",NA,2006,2008,"ufpr",1,"nao",1,18,"sim","excel","certamente sim",9,"aumento salarial e oportunidades mais promissoras.","por colegas","nao","Remota","nao","nao","totalmente em escola particular","ensino medio profissionalizante (tecnico)","Masculino",171,94,1977-02-01,"trabalho com carteira assinada/vinculo formal","com o namorado(a)/noivo(a)/conjuge",3,"curitiba","a e b (moto e carro)","carro/moto proprio",20,1,"cachorro","nao toco nenhum instrumento","Facebook; Twitter; Instagram; Linkedin",56,"B se chama Bouba e A se chama Kiki.",32.146643411648,44,1
"133","ufpr","sd - saude","mestrado academico","ciencias biologicas",2015,"outro","iniciacao cientifica; monitoria; grupos de pesquisa",NA,NA,"outro",1,"capes",0,0,"nao","excel","certamente sim",8,"outro","pelo(a)  orientador(a)","nao","Presencial","nao","nao","totalmente em escola publica","ensino medio tradicional","Masculino",171,77,1989-04-23,"bolsista em tempo integral","com o namorado(a)/noivo(a)/conjuge",1,"interior","b (carro)","carro/moto proprio",20,0,"cachorro","nao toco nenhum instrumento","Nenhuma",70,"A se chama Bouba e B se chama Kiki.",26.3328887520947,32,1
"134","uepg",NA,"doutorado","ciencias biologicas",2014,"uepg","pet; monitoria; projeto de extensao",2018,2020,"uepg",1,"nao",1,1,"sim","spss; excel","certamente sim",10,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","pelo(a)  orientador(a)","nao","Remota","nao","nao","parte em escola publica, parte em particular","outro","Feminino",160,70,1992-05-02,"trabalho com carteira assinada/vinculo formal","com o namorado(a)/noivo(a)/conjuge",2,"interior","b (carro)","carro/moto proprio",60,2,"cachorro","nao toco nenhum instrumento","Facebook; Twitter; Instagram; Linkedin",50,"B se chama Bouba e A se chama Kiki.",27.34375,28,1
"135","uepg",NA,"doutorado","ciencias biologicas",2016,"uepg","iniciacao cientifica; projeto de extensao",2018,2020,"uepg",4,"nao",0,1,"nao","","certamente sim",10,"aumento salarial e oportunidades mais promissoras.","outro","nao","Remota","nao","nao","totalmente em escola particular","ensino medio profissionalizante (tecnico)","Feminino",178,92,1994-12-29,"trabalho por contrato","sozinho",1,"interior","a (moto)","transporte publico",45,4,"cachorro","outro","Facebook; Instagram; Linkedin",38,"B se chama Bouba e A se chama Kiki.",29.0367377856331,26,1
"136","ufpr","ag - agrarias","mestrado academico","ciencias biologicas",2018,"outro","iniciacao cientifica; monitoria",NA,NA,"outro",3,"capes",2,7,"sim","sas; excel; genes; assistat","certamente sim",8,"conseguir um emprego.","por colegas","nao","Remota","nao","nao","totalmente em escola publica","ensino medio tradicional","Feminino",170,68,1996-11-26,"bolsista em tempo integral","sozinho",1,"outro estado","b (carro)","transporte publico",30,20,"cachorro","violao","Facebook; Google+; Instagram; Linkedin; Outras",40,"A se chama Bouba e B se chama Kiki.",23.5294117647059,24,1
"137","unicentro",NA,"mestrado academico","ciencias biologicas",2017,"outro","iniciacao cientifica",NA,NA,"outro",0,"nao",1,2,"sim","excel; sisvar","certamente sim",10,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","pelo(a)  orientador(a)","sim","Remota","nao","sim","totalmente em escola publica","ensino medio tradicional","Feminino",156,63,1997-11-23,"trabalho ocasional","com os pais",1,"interior","b (carro)","transporte publico",40,3,"cachorro; gato","nao toco nenhum instrumento","Facebook; Instagram; Outras",50,"B se chama Bouba e A se chama Kiki.",25.887573964497,23,1
"138","ufpr","sd - saude","doutorado","ciencias biologicas",2012,"outro",NA,2017,2019,"ufpr",0,"capes",1,7,"sim","r","certamente sim",10,"outro","site da ufpr ou instituicao de origem","nao","Remota","nao","nao","totalmente em escola publica","ensino medio tradicional","Feminino",155,60,2020-07-10,"bolsista em tempo integral","com outros familiares",7,"interior","b (carro)","carro/moto proprio",60,0,"cachorro; gato","nao toco nenhum instrumento","Facebook; Linkedin",43,"B se chama Bouba e A se chama Kiki.",24.9739854318418,0,1
"139","ufpr","tc - tecnologia","doutorado","ciencias exatas",2004,"utfpr",NA,2015,2017,"unioeste",4,"nao",1,7,"sim","excel","certamente sim",8,"aumento salarial e oportunidades mais promissoras.","site da ufpr ou instituicao de origem","nao","Remota","nao","nao","totalmente em escola publica","ensino medio tradicional","Feminino",167,67,1982-10-10,"trabalho com carteira assinada/vinculo formal","com o namorado(a)/noivo(a)/conjuge",5,"interior","a e b (moto e carro)","carro/moto proprio",60,0,"nao possuo","nao toco nenhum instrumento","Facebook; Instagram",50,"A se chama Bouba e B se chama Kiki.",24.023808670085,38,1
"140","unicentro",NA,"doutorado","ciencias biologicas",2011,"outro",NA,2012,2014,"unicentro",6,"nao",3,16,"sim","r; statistica; spss; excel; past","certamente sim",10,"conseguir um emprego.","pelos professores que ministram/ministraram disciplinas da transversal","nao","Remota","nao","sim","totalmente em escola publica","ensino medio tradicional","Masculino",186,104,1985-01-23,"trabalho com carteira assinada/vinculo formal","com o namorado(a)/noivo(a)/conjuge",3,"interior","superior a b","carro/moto proprio",15,0,"peixe","nao toco nenhum instrumento","Facebook; Twitter; Instagram",46,"A se chama Bouba e B se chama Kiki.",30.0612787605503,36,1
"141","unicentro",NA,"doutorado","ciencias exatas",2013,"unicentro","iniciacao cientifica",2018,2020,"unicentro",0,"nao",0,5,"sim","excel","certamente sim",10,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","pelo(a)  orientador(a)","nao","Remota","nao","nao","totalmente em escola publica","ensino medio tradicional","Masculino",169,80,1989-09-20,"outro","com o namorado(a)/noivo(a)/conjuge",2,"interior","b (carro)","carro/moto proprio",90,0,"cachorro","nao toco nenhum instrumento","Facebook; Instagram",54,"A se chama Bouba e B se chama Kiki.",28.0102237316621,31,1
"142","ufpr","sp - palotina","mestrado academico","ciencias exatas",2019,"outro","iniciacao cientifica; empresa junior",NA,NA,"ufpr",0,"nao",1,0,"sim","excel; matlab","certamente sim",8,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","site da ufpr ou instituicao de origem","nao","Remota","nao","nao","totalmente em escola particular","ensino medio tradicional","Feminino",165,64,1997-11-02,"outro","com os pais",0,"interior","b (carro)","servico fretado de van/onibus",30,4,"cachorro","nao toco nenhum instrumento","Instagram; Linkedin",50,"A se chama Bouba e B se chama Kiki.",23.5078053259871,23,1
"143","ufpr","ct - ciencias da terra","doutorado","ciencias exatas",2007,"outro",NA,2014,2016,"ufpr",1,"nao",1,50,"sim","r; statistica; spss; excel; matlab","certamente sim",10,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","site da ufpr ou instituicao de origem","nao","Remota","nao","nao","parte em escola publica, parte em particular","ensino medio tradicional","Masculino",180,90,1980-01-27,"trabalho com carteira assinada/vinculo formal","sozinho",1,"outro estado","a e b (moto e carro)","taxi/aplicativo",10,60,"cachorro","violao; teclado; piano; flauta","Twitter; Google+; Outras",45,"B se chama Bouba e A se chama Kiki.",27.7777777777778,41,1
"144","ufpr","ag - agrarias","mestrado academico","ciencias biologicas",2018,"ufpr","iniciacao cientifica; monitoria; projeto de extensao",NA,NA,"outro",2,"nao",1,0,"nao","","certamente sim",9,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","site da ufpr ou instituicao de origem","nao","Presencial","nao","nao","totalmente em escola particular","ensino medio tradicional","Feminino",178,62,1994-09-30,"outro","com os pais",1,"curitiba","b (carro)","carro/moto proprio",30,0,"cachorro","violao; piano","Facebook",68,"B se chama Bouba e A se chama Kiki.",19.5682363337962,26,1
"145","ufpr","sd - saude","mestrado academico","ciencias biologicas",2019,"ufpr","iniciacao cientifica; monitoria; projeto de extensao",NA,NA,"outro",1,"capes",0,6,"sim","spss; graphpad prism 7","certamente sim",10,"aumento salarial e oportunidades mais promissoras.","email institucional da sucom (superintendencia de comunicacao e marketing)","nao","Remota","nao","nao","totalmente em escola publica","ensino medio tradicional","Masculino",184,86,1995-11-15,"bolsista em tempo integral","sozinho",1,"outro estado","b (carro)","transporte publico",70,10,"nao possuo","violao; teclado; contrabaixo","Instagram; Linkedin",50,"B se chama Bouba e A se chama Kiki.",25.4017013232514,25,1
"146","ufpr","sa - sociais aplicadas","mestrado academico","ciencias humanas",2000,"outro",NA,NA,NA,"ufpr",0,"outro",1,2,"nao","","nao sei ainda",5,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","pelo(a)  orientador(a)","sim","Presencial","nao","nao","totalmente em escola particular","ensino medio tradicional","Masculino",171,88,1971-10-29,"trabalho ocasional","com o namorado(a)/noivo(a)/conjuge",3,"exterior","a e b (moto e carro)","a pe",25,1,"cachorro","nao toco nenhum instrumento","Facebook",45,"B se chama Bouba e A se chama Kiki.",30.0947300023939,49,1
"147","unila",NA,"mestrado academico","ciencias biologicas",2017,"outro","iniciacao cientifica; monitoria; projeto de extensao",2018,2020,"unila",2,"outro",1,10,"sim","r; excel; bioestat; graphpad prism","certamente sim",10,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","email institucional da sucom (superintendencia de comunicacao e marketing)","nao","Remota","nao","nao","totalmente em escola publica","ensino medio profissionalizante (tecnico)","Feminino",170,70,1994-08-10,"outro","com os pais",2,"interior","nao","transporte publico",40,5,"gato; passaro","nao toco nenhum instrumento","Facebook; Instagram; Linkedin",50,"B se chama Bouba e A se chama Kiki.",24.2214532871972,26,1
"148","ufpr","sd - saude","doutorado","ciencias biologicas",1990,"uepg",NA,2002,2004,"uem",5,"nao",1,10,"nao","excel","certamente sim",10,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","site da ufpr ou instituicao de origem","nao","Remota","nao","nao","totalmente em escola particular","ensino medio profissionalizante (tecnico)","Feminino",160,60,1968-09-30,"trabalho com carteira assinada/vinculo formal","com o namorado(a)/noivo(a)/conjuge",2,"interior","b (carro)","taxi/aplicativo",25,2,"nao possuo","nao toco nenhum instrumento","Facebook; Google+; Instagram; Linkedin",55,"B se chama Bouba e A se chama Kiki.",23.4375,52,1
"149","uepg",NA,"mestrado academico","ciencias exatas",2009,"uepg","projeto de extensao",NA,2021,"outro",0,"nao",0,1,"sim","excel","certamente sim",10,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","site da ufpr ou instituicao de origem","nao","Remota","nao","nao","totalmente em escola particular","ensino medio tradicional","Feminino",166,90,1981-03-30,"bolsista em tempo integral","com os pais",2,"interior","b (carro)","carro/moto proprio",15,0,"nao possuo","nao toco nenhum instrumento","Facebook; Instagram",50,"B se chama Bouba e A se chama Kiki.",32.660763536072,40,1
"150","ufpr","sd - saude","mestrado academico","ciencias biologicas",2013,"outro","iniciacao cientifica; monitoria; projeto de extensao",NA,NA,"outro",8,"nao",1,0,"sim","spss; excel","certamente sim",10,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","por colegas","nao","Remota","nao","nao","totalmente em escola particular","ensino medio tradicional","Masculino",176,72,1990-04-23,"trabalho com carteira assinada/vinculo formal","sozinho",1,"outro estado","b (carro)","a pe",10,8,"cachorro","nao toco nenhum instrumento","Facebook; Instagram",55,"B se chama Bouba e A se chama Kiki.",23.2438016528926,31,1
"151","ufpr","sa - sociais aplicadas","mestrado academico","ciencias humanas",2001,"outro",NA,NA,NA,"outro",0,"nao",1,0,"nao","","certamente sim",9,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","por alguma outra midia social da ufpr","sim","Remota","sim","nao","totalmente em escola publica","ensino medio tradicional","Feminino",165,66,1980-06-30,"outro","com o namorado(a)/noivo(a)/conjuge",3,"curitiba","b (carro)","carro/moto proprio",20,4,"peixe","nao toco nenhum instrumento","Facebook; Google+; Instagram",48,"A se chama Bouba e B se chama Kiki.",24.2424242424242,40,1
"152","ufpr","sp - palotina","mestrado academico","ciencias exatas",2018,"ufpr","iniciacao cientifica; projeto de extensao",NA,NA,"outro",0,"nao",1,0,"nao","","certamente sim",0,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","por colegas","nao","Remota","nao","nao","totalmente em escola publica","ensino medio tradicional","Masculino",185,77,1995-02-27,"trabalho com carteira assinada/vinculo formal","com o namorado(a)/noivo(a)/conjuge",2,"interior","a e b (moto e carro)","bicicleta",10,0,"nao possuo","nao toco nenhum instrumento","Facebook; Instagram",57,"B se chama Bouba e A se chama Kiki.",22.4981738495252,26,1
"153","ufpr","ag - agrarias","doutorado","ciencias exatas",2011,"outro","iniciacao cientifica; projeto de extensao",2011,2013,"outro",8,"nao",2,8,"sim","sas; statistica; excel","certamente sim",10,"outro","outro","sim","Remota","nao","nao","totalmente em escola particular","ensino medio tradicional","Feminino",165,60,1987-04-24,"outro","com o namorado(a)/noivo(a)/conjuge",5,"outro estado","b (carro)","carro/moto proprio",20,5,"nao possuo","nao toco nenhum instrumento","Facebook; Twitter; Instagram; Linkedin",62,"B se chama Bouba e A se chama Kiki.",22.038567493113,34,1
"154","uepg",NA,"mestrado academico","ciencias biologicas",2019,"uepg","iniciacao cientifica; monitoria; projeto de extensao",NA,NA,"outro",0,"capes",0,0,"nao","","certamente sim",8,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","site da ufpr ou instituicao de origem","nao","Remota","nao","nao","totalmente em escola particular","ensino medio tradicional","Masculino",185,90,1997-10-03,"bolsista em tempo integral","com os pais",1,"interior","b (carro)","carro/moto proprio",15,2,"cachorro","nao toco nenhum instrumento","Facebook; Google+; Instagram",50,"B se chama Bouba e A se chama Kiki.",26.2965668371074,23,1
"155","ufpr","sp - palotina","doutorado","ciencias exatas",2014,"utfpr","iniciacao cientifica; projeto de extensao",2014,2016,"uem",1,"nao",1,1,"sim","excel","certamente sim",6,"aumento salarial e oportunidades mais promissoras.","site da ufpr ou instituicao de origem","nao","Remota","nao","nao","totalmente em escola particular","ensino medio tradicional","Feminino",172,67,1992-01-13,"trabalho por contrato","sozinho",2,"interior","a e b (moto e carro)","carro/moto proprio",60,0,"cachorro","nao toco nenhum instrumento","Facebook; Instagram; Linkedin",55,"B se chama Bouba e A se chama Kiki.",22.6473769605192,29,1
"156","ufpr","sd - saude","doutorado","ciencias biologicas",1998,"outro","projeto de extensao",2004,2007,"outro",5,"nao",1,2,"sim","spss; excel","certamente sim",10,"outro","outro","nao","Remota","nao","nao","totalmente em escola publica","ensino medio tradicional","Feminino",173,78,1977-02-03,"trabalho com carteira assinada/vinculo formal","com o namorado(a)/noivo(a)/conjuge",3,"interior","b (carro)","taxi/aplicativo",10,2,"nao possuo","violao","Nenhuma",48,"A se chama Bouba e B se chama Kiki.",26.0616793076949,44,1
"157","ufpr","et - exatas","mestrado academico","ciencias exatas",2018,"outro","iniciacao cientifica; pet; da",NA,2021,"ufpr",0,"capes",2,7,"sim","minitab; excel","certamente sim",10,"conseguir um emprego.","site da ufpr ou instituicao de origem","nao","Remota","nao","nao","totalmente em escola particular","ensino medio tradicional","Feminino",167,70,1995-01-30,"outro","sozinho",1,"outro estado","b (carro)","transporte publico",40,2,"cachorro","violao","Instagram; Linkedin",50,"A se chama Bouba e B se chama Kiki.",25.0995015956112,26,1
"158","unicentro",NA,"doutorado","ciencias biologicas",2017,"unicentro","iniciacao cientifica; monitoria",2018,2020,"unicentro",3,"capes",1,2,"sim","r; sas; excel; matlab","certamente sim",10,"conseguir um emprego.","site da ufpr ou instituicao de origem","nao","Remota","nao","nao","totalmente em escola publica","ensino medio profissionalizante (tecnico)","Masculino",180,88,1995-08-25,"bolsista em tempo integral","com os pais",2,"interior","a e b (moto e carro)","carona com amigos",20,0,"cachorro","nao toco nenhum instrumento","Facebook; Instagram; Linkedin",45,"A se chama Bouba e B se chama Kiki.",27.1604938271605,25,1
"159","unila",NA,"mestrado academico","ciencias exatas",2014,"outro","iniciacao cientifica",NA,NA,"outro",0,"nao",1,20,"nao","","nao sei ainda",5,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","pelo(a)  orientador(a)","nao","Remota","nao","nao","totalmente em escola particular","ensino medio profissionalizante (tecnico)","Masculino",182,92,1988-09-05,"trabalho por contrato","com o namorado(a)/noivo(a)/conjuge",1,"outro estado","a e b (moto e carro)","carro/moto proprio",840,0,"gato","nao toco nenhum instrumento","Facebook; Twitter; Instagram; Linkedin",45,"A se chama Bouba e B se chama Kiki.",27.774423378819,32,1
"160","ufpr","ag - agrarias","mestrado academico","ciencias biologicas",2014,"outro","iniciacao cientifica; projeto de extensao",NA,NA,"outro",0,"nao",1,0,"sim","excel","nao sei ainda",5,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","site da ufpr ou instituicao de origem","nao","Remota","nao","nao","totalmente em escola publica","ensino medio tradicional","Feminino",163,63,1991-09-05,"trabalho ocasional","com o namorado(a)/noivo(a)/conjuge",2,"interior","b (carro)","carro/moto proprio",40,0,"cachorro; gato; passaro; peixe; outro","nao toco nenhum instrumento","Facebook; Twitter; Instagram; Linkedin",54,"B se chama Bouba e A se chama Kiki.",23.7118446309609,29,1
"161","unila","et - exatas","doutorado","ciencias exatas",2006,"unioeste","iniciacao cientifica; monitoria; projeto de extensao",2006,2008,"ufpr",1,"nao",2,1,"sim","r; excel","certamente sim",8,"aumento salarial e oportunidades mais promissoras.","pelo(a)  orientador(a)","nao","Remota","nao","nao","totalmente em escola publica","ensino medio tradicional","Masculino",170,77,1984-01-18,"trabalho com carteira assinada/vinculo formal","com o namorado(a)/noivo(a)/conjuge",1,"interior","b (carro)","carro/moto proprio",30,1,"cachorro","nao toco nenhum instrumento","Facebook; Instagram",47,"B se chama Bouba e A se chama Kiki.",26.643598615917,37,1
"162","outro",NA,"doutorado","ciencias biologicas",1994,"outro","projeto de extensao",2013,2016,"outro",2,"nao",1,0,"sim","excel","certamente sim",10,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","outro","nao","Remota","nao","nao","totalmente em escola publica","ensino medio tradicional","Masculino",171,83,1963-11-05,"outro","pensao, quarto alugado ou algo similar",9,"exterior","b (carro)","a pe",10,1,"nao possuo","nao toco nenhum instrumento","Instagram",55,"B se chama Bouba e A se chama Kiki.",28.3848021613488,57,1
"163","unicentro",NA,"mestrado academico","ciencias biologicas",2019,"unicentro","iniciacao cientifica; projeto de extensao; crf-jr",NA,NA,"outro",0,"cnpq",1,5,"sim","excel","certamente sim",9,"aumento salarial e oportunidades mais promissoras.","pelo(a)  orientador(a)","sim","Remota","sim","nao","parte em escola publica, parte em particular","ensino medio tradicional","Feminino",163,52,1997-03-03,"bolsista em tempo integral","com os pais",1,"interior","nao","transporte publico",30,3,"cachorro","nao toco nenhum instrumento","Facebook; Twitter; Google+; Instagram; Linkedin",53,"B se chama Bouba e A se chama Kiki.",19.5716812826979,24,1
"164","unicentro",NA,"doutorado","ciencias biologicas",2017,"utfpr","pet; projeto de extensao",2017,2019,"outro",16,"nao",1,2,"sim","excel; winstat","certamente sim",10,"aumento salarial e oportunidades mais promissoras.","pelo(a)  orientador(a)","nao","Remota","nao","nao","totalmente em escola publica","outro","Feminino",165,80,1995-01-30,"trabalho com carteira assinada/vinculo formal","com o namorado(a)/noivo(a)/conjuge",3,"interior","a e b (moto e carro)","carro/moto proprio",20,0,"cachorro; peixe","nao toco nenhum instrumento","Facebook; Instagram; Linkedin",47,"B se chama Bouba e A se chama Kiki.",29.3847566574839,26,1
"165","unioeste",NA,"doutorado","ciencias humanas",1990,"outro","projeto de extensao",2013,2015,"unioeste",7,"nao",2,0,"sim","excel; qgis","certamente sim",10,"outro","pelo(a)  orientador(a)","nao","Remota","nao","nao","totalmente em escola particular","ensino medio profissionalizante (tecnico)","Feminino",136,38,1965-04-11,"outro","com outros familiares",1,"outro estado","b (carro)","carro/moto proprio",6,0,"cachorro","nao toco nenhum instrumento","Facebook; Google+; Linkedin",41,"B se chama Bouba e A se chama Kiki.",20.5449826989619,56,1
"166","ufpr","sd - saude","doutorado","ciencias biologicas",2000,"outro","monitoria",2006,2008,"outro",18,"nao",0,1,"sim","jmp","certamente sim",10,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","site da ufpr ou instituicao de origem","nao","Remota","nao","nao","totalmente em escola particular","ensino medio tradicional","Masculino",177,82,1977-02-01,"outro","com o namorado(a)/noivo(a)/conjuge",5,"outro estado","b (carro)","carro/moto proprio",30,0,"cachorro","nao toco nenhum instrumento","Facebook; Instagram; Linkedin",52,"B se chama Bouba e A se chama Kiki.",26.1738325513103,44,1
"167","uepg",NA,"doutorado","ciencias biologicas",2007,"utfpr",NA,2018,2020,"uepg",2,"capes",2,0,"sim","sas","certamente sim",10,"conseguir um emprego.","outro","nao","Remota","nao","nao","totalmente em escola particular","ensino medio tradicional","Feminino",165,54,1985-03-02,"bolsista em tempo integral","com o namorado(a)/noivo(a)/conjuge",3,"interior","b (carro)","carro/moto proprio",20,0,"nao possuo","nao toco nenhum instrumento","Facebook; Instagram",43,"B se chama Bouba e A se chama Kiki.",19.8347107438017,36,1
"168","unicentro",NA,"mestrado profissional","ciencias biologicas",2018,"unicentro","iniciacao cientifica",NA,NA,"outro",2,"capes",1,1,"sim","spss; excel; matlab","certamente sim",10,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","por colegas","nao","Remota","nao","nao","totalmente em escola publica","ensino medio tradicional","Feminino",164,59,1994-10-10,"bolsista em tempo integral","sozinho",1,"interior","b (carro)","transporte publico",25,1,"cachorro","nao toco nenhum instrumento","Facebook; Instagram; Linkedin",42,"B se chama Bouba e A se chama Kiki.",21.9363474122546,26,1
"169","uepg",NA,"doutorado","ciencias biologicas",2017,"uepg","iniciacao cientifica; monitoria; projeto de extensao",2018,2020,"uepg",1,"capes",1,1,"sim","spss; excel","certamente sim",10,"aumento salarial e oportunidades mais promissoras.","outro","nao","Remota","nao","nao","totalmente em escola publica","ensino medio tradicional","Feminino",168,56,1994-12-14,"bolsista em tempo integral","sozinho",2,"interior","nao","a pe",15,4,"cachorro","outro","Facebook; Instagram",43,"B se chama Bouba e A se chama Kiki.",19.8412698412698,26,1
"170","ufpr","ag - agrarias","mestrado academico","ciencias biologicas",2015,"outro","monitoria; projeto de extensao",NA,NA,"outro",0,"nao",1,8,"sim","r; excel","certamente sim",10,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","site da ufpr ou instituicao de origem","nao","Presencial","nao","nao","totalmente em escola particular","ensino medio tradicional","Masculino",180,79,2014-02-15,"outro","com o namorado(a)/noivo(a)/conjuge",1,"outro estado","b (carro)","bicicleta",20,3,"cachorro","flauta","Facebook; Instagram",50,"B se chama Bouba e A se chama Kiki.",24.3827160493827,7,1
"171","ufpr","ag - agrarias","mestrado academico","ciencias biologicas",2013,"ufpr","iniciacao cientifica; monitoria; projeto de extensao",NA,2022,"outro",0,"nao",1,0,"nao","","certamente sim",10,"continuar com a pesquisa e avancar para o proximo curso. seguir os estudos.","site da ufpr ou instituicao de origem","nao","Presencial","nao","nao","totalmente em escola particular","ensino medio tradicional","Feminino",168,56,1984-11-15,"trabalho ocasional","com o namorado(a)/noivo(a)/conjuge",1,"outro estado","b (carro)","carro/moto proprio",25,0,"cachorro","nao toco nenhum instrumento","Facebook; Instagram; Outras",50,"A se chama Bouba e B se chama Kiki.",19.8412698412698,36,1
"172","ufpr","sp - palotina","doutorado","ciencias exatas",2005,"unioeste",NA,2015,2017,"ufpr",3,"nao",1,0,"nao","excel; matlab","nao sei ainda",8,"aumento salarial e oportunidades mais promissoras.","site da ufpr ou instituicao de origem","sim","Remota","nao","nao","totalmente em escola particular","ensino medio tradicional","Masculino",183,85,1983-05-16,"trabalho com carteira assinada/vinculo formal","com o namorado(a)/noivo(a)/conjuge",1,"interior","a e b (moto e carro)","carro/moto proprio",4,0,"nao possuo","violao; bateria","Outras",50,"B se chama Bouba e A se chama Kiki.",25.3814685419093,37,1
